Type,SKU,Name,Manage stock?,Stock,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Parent,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Regular price,Description,Short description,Categories
variation,dog-chest-harness-belt-harness-Black-L,Dog Chest Harness / Belt Harness - Black - L,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Black,,0.0,dog-chest-harness-belt-harness,Accessory size,L,,0.0,765.0,,,
variation,dog-chest-harness-belt-harness-Black-M,Dog Chest Harness / Belt Harness - Black - M,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Black,,0.0,dog-chest-harness-belt-harness,Accessory size,M,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Black-S,Dog Chest Harness / Belt Harness - Black - S,1,0.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Black,,0.0,dog-chest-harness-belt-harness,Accessory size,S,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Black-XL,Dog Chest Harness / Belt Harness - Black - XL,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Black,,0.0,dog-chest-harness-belt-harness,Accessory size,XL,,0.0,780.0,,,
variation,dog-chest-harness-belt-harness-Blue-L,Dog Chest Harness / Belt Harness - Blue - L,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Blue,,0.0,dog-chest-harness-belt-harness,Accessory size,L,,0.0,765.0,,,
variation,dog-chest-harness-belt-harness-Blue-M,Dog Chest Harness / Belt Harness - Blue - M,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Blue,,0.0,dog-chest-harness-belt-harness,Accessory size,M,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Blue-S,Dog Chest Harness / Belt Harness - Blue - S,1,0.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Blue,,0.0,dog-chest-harness-belt-harness,Accessory size,S,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Blue-XL,Dog Chest Harness / Belt Harness - Blue - XL,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Blue,,0.0,dog-chest-harness-belt-harness,Accessory size,XL,,0.0,780.0,,,
variation,dog-chest-harness-belt-harness-Green-L,Dog Chest Harness / Belt Harness - Green - L,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Green,,0.0,dog-chest-harness-belt-harness,Accessory size,L,,0.0,765.0,,,
variation,dog-chest-harness-belt-harness-Green-M,Dog Chest Harness / Belt Harness - Green - M,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Green,,0.0,dog-chest-harness-belt-harness,Accessory size,M,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Green-S,Dog Chest Harness / Belt Harness - Green - S,1,0.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Green,,0.0,dog-chest-harness-belt-harness,Accessory size,S,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Green-XL,Dog Chest Harness / Belt Harness - Green - XL,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Green,,0.0,dog-chest-harness-belt-harness,Accessory size,XL,,0.0,780.0,,,
variation,dog-chest-harness-belt-harness-Orange-L,Dog Chest Harness / Belt Harness - Orange - L,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Orange,,0.0,dog-chest-harness-belt-harness,Accessory size,L,,0.0,765.0,,,
variation,dog-chest-harness-belt-harness-Orange-M,Dog Chest Harness / Belt Harness - Orange - M,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Orange,,0.0,dog-chest-harness-belt-harness,Accessory size,M,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Orange-S,Dog Chest Harness / Belt Harness - Orange - S,1,0.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Orange,,0.0,dog-chest-harness-belt-harness,Accessory size,S,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Orange-XL,Dog Chest Harness / Belt Harness - Orange - XL,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Orange,,0.0,dog-chest-harness-belt-harness,Accessory size,XL,,0.0,780.0,,,
variation,dog-chest-harness-belt-harness-Red-L,Dog Chest Harness / Belt Harness - Red - L,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Red,,0.0,dog-chest-harness-belt-harness,Accessory size,L,,0.0,765.0,,,
variation,dog-chest-harness-belt-harness-Red-M,Dog Chest Harness / Belt Harness - Red - M,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Red,,0.0,dog-chest-harness-belt-harness,Accessory size,M,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Red-S,Dog Chest Harness / Belt Harness - Red - S,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Red,,0.0,dog-chest-harness-belt-harness,Accessory size,S,,0.0,699.0,,,
variation,dog-chest-harness-belt-harness-Red-XL,Dog Chest Harness / Belt Harness - Red - XL,1,20.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_07_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/Gemini_Generated_Image_vgpfdfvgpfdfvgpf.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_05_33_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-chest-harness-belt-harness/ChatGPT_Image_Jan_31_2026_04_03_48_PM.png",Color,Red,,0.0,dog-chest-harness-belt-harness,Accessory size,XL,,0.0,780.0,,,
variable,dog-choke-collar,Dog Choke Collar,0,,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,"Black, Blue, Brown, Orange, Red, Yellow",1.0,0.0,,Accessory size,"L, M, S",1.0,0.0,,"Choke collars pose significant risks including tracheal damage, neck strain, increased anxiety, and even spinal injury - especially when used incorrectly or on pulling dogs. Major organizations like the American Veterinary Society of Animal Behavior (AVSAB) and the American Animal Hospital Association (AAHA) advise against aversive tools that rely on pain or discomfort. Effective, kind training builds trust and achieves better long-term results without compromising your pet's health. Discover safer alternatives designed for comfort and clear communication:
<ul>
<li>Front-Clip Harnesses: Gently redirect pulling pressure to the chest, reducing strain on the neck.</li>
<li>Martingale Collars (Limited-Slip): Provide mild, even feedback without choking, ideal for sighthounds or dogs prone to slipping standard collars.</li>
<li>Head Halters: Offer humane control by guiding the dog's head, mimicking natural canine communication.</li>
<li>Positive Reinforcement Treat Pouches: Reward calm leash walking to build lasting, cooperative habits.</li>
</ul>Choose tools that strengthen your bond while keeping your dog safe, happy, and eager to learn.","We prioritize your dog's safety and well-being, which is why we do not carry choke collars. These devices can cause serious injury and are discouraged by veterinary behaviorists; explore our humane, vet-recommended training tools instead.",Choke Dog Collar / Training Collar
variation,dog-choke-collar-Black-L,Dog Choke Collar - Black - L,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,Black,,0.0,dog-choke-collar,Accessory size,L,,0.0,299.0,,,
variation,dog-choke-collar-Black-M,Dog Choke Collar - Black - M,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,Black,,0.0,dog-choke-collar,Accessory size,M,,0.0,299.0,,,
variation,dog-choke-collar-Black-S,Dog Choke Collar - Black - S,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,Black,,0.0,dog-choke-collar,Accessory size,S,,0.0,299.0,,,
variation,dog-choke-collar-Blue-L,Dog Choke Collar - Blue - L,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,Blue,,0.0,dog-choke-collar,Accessory size,L,,0.0,299.0,,,
variation,dog-choke-collar-Blue-M,Dog Choke Collar - Blue - M,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,Blue,,0.0,dog-choke-collar,Accessory size,M,,0.0,299.0,,,
variation,dog-choke-collar-Blue-S,Dog Choke Collar - Blue - S,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,Blue,,0.0,dog-choke-collar,Accessory size,S,,0.0,299.0,,,
variation,dog-choke-collar-Brown-L,Dog Choke Collar - Brown - L,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,Brown,,0.0,dog-choke-collar,Accessory size,L,,0.0,299.0,,,
variation,dog-choke-collar-Brown-M,Dog Choke Collar - Brown - M,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,Brown,,0.0,dog-choke-collar,Accessory size,M,,0.0,299.0,,,
variation,dog-choke-collar-Brown-S,Dog Choke Collar - Brown - S,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_45_10_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_44_17_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_46_21_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/Gemini_Generated_Image_wndisvwndisvwndi.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_12_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-choke-collar/ChatGPT_Image_Feb_3_2026_03_47_59_PM.png",Color,Brown,,0.0,dog-choke-collar,Accessory size,S,,0.0,299.0,,,
